Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61288222,0.9,l,1501669766.12,2017/08/02 10:29:26,2017/08/02 03:29:26 PDT,"1.8 km from Bremerton, WA",47.5702,-122.6530,25.9,16.1
61285132,1.2,l,1500990151.33,2017/07/25 13:42:31,2017/07/25 06:42:31 PDT,"9.3 km from Bremerton, WA",47.6012,-122.5173,18.4,11.4
61285102,2.7,l,1500973723.11,2017/07/25 09:08:43,2017/07/25 02:08:43 PDT,"4.1 km from Bremerton, WA",47.5842,-122.5815,24.2,15.0
61281427,1.5,l,1499887952.84,2017/07/12 19:32:32,2017/07/12 12:32:32 PDT,"6.1 km from Bremerton, WA",47.5958,-122.5612,19.3,11.9
61279947,1.3,l,1499353956.07,2017/07/06 15:12:36,2017/07/06 08:12:36 PDT,"11.4 km from Bremerton, WA",47.6318,-122.5122,15.0,9.3
61277172,1.0,l,1498459943.87,2017/06/26 06:52:23,2017/06/25 23:52:23 PDT,"6.4 km from Bremerton, WA",47.6007,-122.5608,19.6,12.1
61276847,0.8,l,1498326241.81,2017/06/24 17:44:01,2017/06/24 10:44:01 PDT,"7.7 km from Bremerton, WA",47.6127,-122.5527,18.4,11.4
61276557,1.0,l,1498233699.33,2017/06/23 16:01:39,2017/06/23 09:01:39 PDT,"7.4 km from Bremerton, WA",47.587,-122.5367,19.6,12.2
61294041,1.0,l,1497826291.11,2017/06/18 22:51:31,2017/06/18 15:51:31 PDT,"9.2 km from Bremerton, WA",47.604,-122.5215,18.7,11.6
61294021,1.2,l,1497818918.39,2017/06/18 20:48:38,2017/06/18 13:48:38 PDT,"7.9 km from Bremerton, WA",47.6045,-122.5407,17.9,11.1
61294016,0.7,l,1497818727.55,2017/06/18 20:45:27,2017/06/18 13:45:27 PDT,"3.5 km from Bremerton, WA",47.5873,-122.5957,24.4,15.1
